image_path,jar_colors,colors_tuples
./Stimuli/marblejar_29points0.jpg,"['green', 'darkorange', 'darkorange', 'purple', 'darkorange', 'green', 'darkorange', 'green', 'purple']","[(1, 0, 0), (0, 1, 0), (0, 1, 0), (0, 0, 1), (0, 1, 0), (1, 0, 0), (0, 1, 0), (1, 0, 0), (0, 0, 1)]"
./Stimuli/marblejar_29points1.jpg,"['purple', 'darkorange', 'darkorange', 'darkorange', 'darkorange', 'green', 'green', 'green', 'purple']","[(0, 0, 1), (0, 1, 0), (0, 1, 0), (0, 1, 0), (0, 1, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 1)]"
./Stimuli/marblejar_29points2.jpg,"['darkorange', 'darkorange', 'green', 'purple', 'darkorange', 'purple', 'darkorange', 'green', 'green']","[(0, 1, 0), (0, 1, 0), (1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 0, 1), (0, 1, 0), (1, 0, 0), (1, 0, 0)]"
./Stimuli/marblejar_29points3.jpg,"['darkorange', 'green', 'purple', 'darkorange', 'purple', 'darkorange', 'darkorange', 'green', 'green']","[(0, 1, 0), (1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 0, 1), (0, 1, 0), (0, 1, 0), (1, 0, 0), (1, 0, 0)]"
./Stimuli/marblejar_29points4.jpg,"['purple', 'green', 'darkorange', 'green', 'purple', 'green', 'darkorange', 'darkorange', 'darkorange']","[(0, 0, 1), (1, 0, 0), (0, 1, 0), (1, 0, 0), (0, 0, 1), (1, 0, 0), (0, 1, 0), (0, 1, 0), (0, 1, 0)]"
./Stimuli/marblejar_28points0.jpg,"['darkorange', 'darkorange', 'green', 'purple', 'darkorange', 'purple', 'purple', 'green', 'darkorange']","[(0, 1, 0), (0, 1, 0), (1, 0, 0), (0, 0, 1), (0, 1, 0), (0, 0, 1), (0, 0, 1), (1, 0, 0), (0, 1, 0)]"
./Stimuli/marblejar_28points1.jpg,"['purple', 'darkorange', 'darkorange', 'green', 'green', 'green', 'purple', 'darkorange', 'green']","[(0, 0, 1), (0, 1, 0), (0, 1, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 1), (0, 1, 0), (1, 0, 0)]"
./Stimuli/marblejar_28points2.jpg,"['green', 'darkorange', 'darkorange', 'green', 'darkorange', 'purple', 'green', 'green', 'purple']","[(1, 0, 0), (0, 1, 0), (0, 1, 0), (1, 0, 0), (0, 1, 0), (0, 0, 1), (1, 0, 0), (1, 0, 0), (0, 0, 1)]"
./Stimuli/marblejar_28points3.jpg,"['green', 'darkorange', 'green', 'green', 'green', 'purple', 'green', 'darkorange', 'green']","[(1, 0, 0), (0, 1, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 1), (1, 0, 0), (0, 1, 0), (1, 0, 0)]"
./Stimuli/marblejar_28points4.jpg,"['darkorange', 'green', 'darkorange', 'green', 'purple', 'green', 'purple', 'green', 'darkorange']","[(0, 1, 0), (1, 0, 0), (0, 1, 0), (1, 0, 0), (0, 0, 1), (1, 0, 0), (0, 0, 1), (1, 0, 0), (0, 1, 0)]"
./Stimuli/marblejar_28points5.jpg,"['darkorange', 'purple', 'darkorange', 'purple', 'green', 'darkorange', 'green', 'darkorange', 'purple']","[(0, 1, 0), (0, 0, 1), (0, 1, 0), (0, 0, 1), (1, 0, 0), (0, 1, 0), (1, 0, 0), (0, 1, 0), (0, 0, 1)]"
./Stimuli/marblejar_28points6.jpg,"['green', 'darkorange', 'green', 'green', 'green', 'green', 'purple', 'darkorange', 'green']","[(1, 0, 0), (0, 1, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (1, 0, 0), (0, 0, 1), (0, 1, 0), (1, 0, 0)]"
./Stimuli/marblejar_28points7.jpg,"['green', 'green', 'darkorange', 'green', 'darkorange', 'purple', 'darkorange', 'green', 'purple']","[(1, 0, 0), (1, 0, 0), (0, 1, 0), (1, 0, 0), (0, 1, 0), (0, 0, 1), (0, 1, 0), (1, 0, 0), (0, 0, 1)]"
./Stimuli/marblejar_28points8.jpg,"['green', 'darkorange', 'green', 'darkorange', 'purple', 'green', 'darkorange', 'purple', 'green']","[(1, 0, 0), (0, 1, 0), (1, 0, 0), (0, 1, 0), (0, 0, 1), (1, 0, 0), (0, 1, 0), (0, 0, 1), (1, 0, 0)]"
./Stimuli/marblejar_28points9.jpg,"['purple', 'green', 'darkorange', 'darkorange', 'purple', 'darkorange', 'darkorange', 'green', 'purple']","[(0, 0, 1), (1, 0, 0), (0, 1, 0), (0, 1, 0), (0, 0, 1), (0, 1, 0), (0, 1, 0), (1, 0, 0), (0, 0, 1)]"
