Jar1,Jar1_Colors,Jar2,Jar2_Colors,Jar3_right_or_left,Jar3_text_position_X,Jar3_text_position_Y,Jar3_position_X,Jar3_position_Y,Jar3,Jar3_Colors,same_or_different,Change_Detection_Key,task,green_value,orange_value,purple_value,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,which_trial.thisRepN,which_trial.thisTrialN,which_trial.thisN,which_trial.thisIndex,initial_instructions.started,key_resp_instructions.started,key_resp_instructions.keys,key_resp_instructions.rt,practice_instruc.started,key_resp_practice_instruct.started,key_resp_practice_instruct.keys,key_resp_practice_instruct.rt,text_2.started,key_resp_practice_JarSelection.keys,key_resp_practice_JarSelection.rt,jar1_4.started,jar2_4.started,MarbleValues_4.started,key_resp_trials_2.keys,key_resp_trials_2.corr,fb_2.started,blankscreen_2.started,jar1_4.stopped,jar2_4.stopped,MarbleValues_4.stopped,Same_or_Different_2.started,changedetection_2.started,blankscreen_2.stopped,key_resp_trials_2.rt,fb_2.stopped,text_3.started,key_resp_ready.started,key_resp_ready.keys,key_resp_ready.rt,marbleJar1_SumOfPoints,marbleJar2_SumOfPoints,marbleJar3_SumOfPoints,jar2.started,jar2.stopped,key_resp_trials_JarSelection.keys,key_resp_trials_JarSelection.corr,key_resp_trials_JarSelection.rt,Marble color,Marble points,key_resp_trials.keys,key_resp_trials.corr,key_resp_break.keys,changedetection.started,key_resp_trials.rt,anonymous participant id,group,date,expName,psychopyVersion,frameRate
,,,,,,,,,,,,,,,,,,,,,,,,,14.50418588,14.50418588,space,0.653607166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.17858229,15.17858229,space,0.472209041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.50173108,None,0.451987291,39.82193838,39.82193838,39.82193838,j,0,43.08709821,41.80441579,41.81352154,41.81352154,41.81352154,42.80244392,42.80244392,42.80244392,0.263114958,39.82193838,45.08743475,45.08743475,space,1.033484541,,,,,,,,,,,,,,,,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
./Stimuli/reg_trials/marblejar_left_60.jpg,"['darkorange', 'purple', 'purple', 'purple', 'darkorange', 'purple', 'purple', 'purple', 'purple']",./Stimuli/reg_trials/rand_marblejar_172.jpg,"['darkorange', 'green', 'purple', 'purple', 'purple', 'purple', 'purple', 'darkorange', 'darkorange']",left,0.25,0,-0.5,0,./Stimuli/reg_trials/marblejar_left_60.jpg,"['darkorange', 'purple', 'purple', 'purple', 'darkorange', 'purple', 'purple', 'purple', 'purple']",same,f,task_JarSelection,4,3,2,,,,,0,0,0,247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,23,20,46.36459233,47.86351475,f,0,0.460935499,purple,2,None,0,None,,,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
./Stimuli/marblejar_26points7.jpg,"['darkorange', 'purple', 'green', 'purple', 'purple', 'purple', 'green', 'green', 'darkorange']",./Stimuli/marblejar_26points17.jpg,"['purple', 'green', 'darkorange', 'purple', 'darkorange', 'purple', 'darkorange', 'green', 'darkorange']",right,-0.25,0,0.5,0,./Stimuli/marblejar_26points17.jpg,"['purple', 'green', 'darkorange', 'purple', 'darkorange', 'purple', 'darkorange', 'green', 'darkorange']",same,f,task_JarSelection,4,3,2,,,,,0,1,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,26,26,51.36490667,52.86360054,j,0,0.50615375,purple,2,None,0,None,,,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
./Stimuli/marblejar_23points0.jpg,"['purple', 'darkorange', 'purple', 'darkorange', 'darkorange', 'purple', 'purple', 'darkorange', 'darkorange']",./Stimuli/marblejar_23points10.jpg,"['darkorange', 'darkorange', 'purple', 'purple', 'darkorange', 'purple', 'purple', 'darkorange', 'darkorange']",left,0.25,0,-0.5,0,./Stimuli/marblejar_23points20.jpg,"['purple', 'darkorange', 'darkorange', 'purple', 'green', 'purple', 'darkorange', 'purple', 'purple']",same,f,task_ChangeDetection,4,3,2,,,,,0,2,2,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,23,23,56.39913133,,None,0,,-1,0,f,1,None,59.3877835,0.459079791,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
./Stimuli/marblejar_25points8.jpg,"['purple', 'purple', 'darkorange', 'green', 'darkorange', 'darkorange', 'darkorange', 'purple', 'darkorange']",./Stimuli/marblejar_25points18.jpg,"['green', 'purple', 'green', 'purple', 'purple', 'purple', 'green', 'darkorange', 'purple']",right,-0.25,0,0.5,0,./Stimuli/marblejar_25points28.jpg,"['darkorange', 'purple', 'purple', 'darkorange', 'green', 'purple', 'purple', 'darkorange', 'green']",different,j,task_ChangeDetection,4,3,2,,,,,0,3,3,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,25,25,61.89219458,,None,0,,-1,0,j,1,None,64.87157112,0.394800666,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
./Stimuli/reg_trials/rand_marblejar_99.jpg,"['purple', 'green', 'purple', 'darkorange', 'purple', 'purple', 'green', 'purple', 'darkorange']",./Stimuli/reg_trials/marblejar_right_99.jpg,"['darkorange', 'purple', 'darkorange', 'darkorange', 'purple', 'purple', 'darkorange', 'darkorange', 'darkorange']",right,-0.25,0,0.5,0,./Stimuli/reg_trials/marblejar3_right_different_99.jpg,"['purple', 'purple', 'darkorange', 'darkorange', 'purple', 'darkorange', 'purple', 'darkorange', 'purple']",different,j,task_JarSelection,4,3,2,,,,,0,4,4,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,24,22,67.28562987,68.78021812,f,0,0.428007791,purple,2,None,0,None,,,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
./Stimuli/reg_trials/rand_marblejar_95.jpg,"['darkorange', 'darkorange', 'purple', 'purple', 'purple', 'purple', 'darkorange', 'green', 'darkorange']",./Stimuli/reg_trials/marblejar_right_95.jpg,"['green', 'green', 'purple', 'green', 'darkorange', 'darkorange', 'purple', 'darkorange', 'purple']",right,-0.25,0,0.5,0,./Stimuli/reg_trials/marblejar_right_95.jpg,"['green', 'green', 'purple', 'green', 'darkorange', 'darkorange', 'purple', 'darkorange', 'purple']",same,f,task_JarSelection,4,3,2,,,,,0,5,5,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,27,27,72.24434808,73.73513758,j,0,0.290614708,purple,2,None,0,None,,,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
./Stimuli/reg_trials/rand_marblejar_6.jpg,"['purple', 'purple', 'purple', 'purple', 'purple', 'purple', 'purple', 'green', 'purple']",./Stimuli/reg_trials/marblejar_right_6.jpg,"['purple', 'green', 'green', 'darkorange', 'purple', 'darkorange', 'darkorange', 'darkorange', 'darkorange']",right,-0.25,0,0.5,0,./Stimuli/reg_trials/marblejar3_right_different_6.jpg,"['darkorange', 'darkorange', 'darkorange', 'darkorange', 'darkorange', 'darkorange', 'purple', 'darkorange', 'darkorange']",different,j,task_JarSelection,4,3,2,,,,,0,6,6,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,27,26,77.05806758,78.55183479,j,0,0.5006545,darkorange,3,None,0,None,,,rochelle,,2023-09-16_21h08.29.489,purple_orange_green,2022.2.5,None
